src_bytes,dst_bytes,logged_in,is_guest_login,is_host_login,dst_host_count,class
491,0,0,0,0,150,normal
146,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
232,8153,1,0,0,30,normal
199,420,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
287,2251,1,0,0,8,normal
334,0,1,0,0,2,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
300,13788,1,0,0,91,normal
18,0,0,0,0,1,anomaly
233,616,1,0,0,66,normal
343,1178,1,0,0,157,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,238,anomaly
253,11905,1,0,0,87,normal
147,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
437,14421,1,0,0,255,normal
0,0,0,0,0,255,anomaly
227,6588,1,0,0,43,normal
215,10499,1,0,0,255,normal
241,1400,1,0,0,255,normal
8,0,0,0,0,1,anomaly
0,0,0,0,0,255,anomaly
303,555,1,0,0,9,normal
0,0,0,0,0,255,anomaly
45,45,0,0,0,255,normal
105,147,0,0,0,41,normal
43,43,0,0,0,255,normal
0,0,0,0,0,255,anomaly
324,2302,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1591,372,1,0,0,181,normal
146,105,0,0,0,255,normal
290,3006,1,0,0,255,normal
0,0,0,0,0,255,anomaly
28,0,0,0,0,255,anomaly
255,861,1,0,0,255,normal
334,0,1,0,0,4,anomaly
0,0,0,0,0,255,anomaly
302,498,1,0,0,131,normal
0,0,0,0,0,255,anomaly
28,0,0,0,0,255,anomaly
220,1398,1,0,0,26,normal
43,69,0,0,0,255,normal
44,133,0,0,0,122,normal
8,0,0,0,0,2,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
43,43,0,0,0,255,normal
641,0,1,0,0,175,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
310,2794,1,0,0,255,normal
0,0,0,0,0,255,anomaly
696,333,1,0,0,109,normal
0,0,0,0,0,236,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
221,2878,1,0,0,21,normal
0,0,0,0,0,255,anomaly
181,0,0,0,0,255,normal
42,42,0,0,0,84,normal
0,0,0,0,0,255,anomaly
12,0,1,0,0,44,normal
0,0,0,0,0,255,anomaly
210,2790,1,0,0,48,normal
321,5683,1,0,0,168,normal
0,0,0,0,0,255,anomaly
329,3982,1,0,0,24,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
8,0,0,0,0,1,anomaly
320,379,1,0,0,123,normal
0,0,0,0,0,72,anomaly
225,3762,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
146,105,0,0,0,117,normal
247,1416,1,0,0,156,normal
353,1483,1,0,0,255,normal
44,44,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
3065,331,1,0,0,243,normal
102,102,0,0,0,7,normal
259,750,1,0,0,4,normal
147,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,354,0,0,0,255,normal
