Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
Standard B1ls,B1ls,0.5 GiB,1 vCPUs,0.50 GiB/vCPU,0,4,$0.0052 hourly,$0.0031 hourly,unavailable,unavailable,Microsoft Azure
B2pts v2,B2pts v2,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,0,$0.0084 hourly,$0.0049 hourly,unavailable,unavailable,Microsoft Azure
B2ats v2,B2ats v2,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,0,$0.0094 hourly,$0.0056 hourly,$0.0136 hourly,$0.0046 hourly,Microsoft Azure
B2ts v2,B2ts v2,1.0 GiB,2 vCPUs,0.50 GiB/vCPU,0,0,$0.0104 hourly,$0.0062 hourly,$0.0142 hourly,$0.0049 hourly,Microsoft Azure
Standard B1s,B1s,1.0 GiB,1 vCPUs,1.00 GiB/vCPU,0,4,$0.0104 hourly,$0.0060 hourly,$0.0100 hourly,unavailable,Microsoft Azure
Basic A0,A0,0.75 GiB,1 vCPUs,0.75 GiB/vCPU,0,20,$0.0200 hourly,unavailable,unavailable,$0.0140 hourly,Microsoft Azure
Standard B1ms,B1ms,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,4,$0.0207 hourly,$0.0122 hourly,$0.0162 hourly,unavailable,Microsoft Azure
B2pls v2,B2pls v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0336 hourly,$0.0199 hourly,unavailable,unavailable,Microsoft Azure
B2als v2,B2als v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0376 hourly,$0.0221 hourly,$0.0301 hourly,$0.0117 hourly,Microsoft Azure
B2ls v2,B2ls v2,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,0,$0.0416 hourly,$0.0245 hourly,$0.0325 hourly,$0.0127 hourly,Microsoft Azure
Standard B2s,B2s,4.0 GiB,2 vCPUs,2.00 GiB/vCPU,0,8,$0.0416 hourly,$0.0243 hourly,$0.0323 hourly,unavailable,Microsoft Azure
Standard A1 v2,A1 v2,2.0 GiB,1 vCPUs,2.00 GiB/vCPU,0,10,$0.0430 hourly,$0.0253 hourly,$0.0713 hourly,$0.0065 hourly,Microsoft Azure
