Timestamp,IOPS,Compute,NetworkReq,BackupDedupeRatio,Storage,RAM,Latency,WorkloadType,DeploymentCU
2023-01-01,40280,4 vCPUs,1 Gbps,3.6120587742991415,7267,8 GB,1,File Storage,Small
2023-01-02,20713,2 vCPUs,10 Gbps,1.5132042339036744,3999,8 GB,42,File Storage,Small
2023-01-03,68666,4 vCPUs,10 Gbps,1.434516018704908,3695,32 GB,81,Web Server,Large
2023-01-04,19957,16 vCPUs,100 Mbps,1.586350448384254,5858,64 GB,55,Application,Medium
2023-01-05,56574,16 vCPUs,1 Gbps,3.9681212793300737,5960,64 GB,13,File Storage,X-Large
2023-01-06,10994,2 vCPUs,1 Gbps,3.1734773199982613,1992,16 GB,91,Application,Large
2023-01-07,43745,16 vCPUs,100 Mbps,1.829947225598668,5177,64 GB,44,Application,X-Large
2023-01-08,61230,16 vCPUs,1 Gbps,2.5412037570081907,7250,64 GB,17,File Storage,Small
2023-01-09,33650,8 vCPUs,100 Mbps,1.3914761366629018,2059,16 GB,43,Application,Small
2023-01-10,29079,2 vCPUs,10 Gbps,1.004615203919217,9867,32 GB,91,Database,Small
2023-01-11,94093,2 vCPUs,100 Mbps,3.5567270565779694,6589,8 GB,84,Application,X-Large
2023-01-12,82071,16 vCPUs,100 Mbps,2.3215596957109677,4868,8 GB,56,Web Server,Medium
2023-01-13,99832,2 vCPUs,10 Gbps,2.8226887981150353,718,8 GB,80,Database,Large
2023-01-14,91347,4 vCPUs,100 Mbps,2.337948747693644,9474,64 GB,22,Web Server,Large
2023-01-15,17174,2 vCPUs,1 Gbps,2.7975298191825604,5334,32 GB,53,File Storage,X-Large
2023-01-16,24321,8 vCPUs,10 Gbps,2.2440167529230095,1854,64 GB,34,Database,Small
2023-01-17,24747,2 vCPUs,100 Mbps,2.9781531787633133,1682,8 GB,26,Application,X-Large
2023-01-18,18170,4 vCPUs,100 Mbps,1.6429780225680468,554,16 GB,82,Web Server,Medium
2023-01-19,30012,8 vCPUs,10 Gbps,1.4229357376397909,5842,32 GB,15,File Storage,Medium
2023-01-20,42033,16 vCPUs,100 Mbps,1.3083185976378813,105,32 GB,89,Application,Medium
2023-01-21,31753,4 vCPUs,100 Mbps,2.085992719107856,5485,64 GB,97,Web Server,Large
2023-01-22,91226,8 vCPUs,100 Mbps,3.4459166523195406,6124,16 GB,76,Application,Large
2023-01-23,23498,8 vCPUs,100 Mbps,2.954767030148673,1490,64 GB,93,File Storage,Small
2023-01-24,76682,4 vCPUs,100 Mbps,1.9938346383836398,2993,16 GB,99,Web Server,Small
2023-01-25,46181,8 vCPUs,1 Gbps,1.5488419364073174,286,64 GB,73,File Storage,Large
2023-01-26,71669,2 vCPUs,1 Gbps,3.910827251877084,4340,64 GB,29,Database,Medium
2023-01-27,33096,2 vCPUs,100 Mbps,1.3961685555920496,7262,64 GB,28,Web Server,Medium
2023-01-28,23875,2 vCPUs,10 Gbps,1.5710829522884109,8123,16 GB,69,Database,Medium
2023-01-29,17454,4 vCPUs,10 Gbps,1.798339435580988,2924,32 GB,8,Database,Medium
2023-01-30,82065,16 vCPUs,1 Gbps,1.1114955545306402,6373,16 GB,27,File Storage,X-Large
2023-01-31,38531,2 vCPUs,10 Gbps,3.7789765595153657,887,64 GB,83,Web Server,X-Large
2023-02-01,59942,16 vCPUs,10 Gbps,3.7938687241736977,886,64 GB,95,Web Server,Large
2023-02-02,66829,4 vCPUs,1 Gbps,2.2268989111799455,7431,32 GB,82,File Storage,Large
2023-02-03,44158,8 vCPUs,100 Mbps,1.3124377858652032,5421,32 GB,53,Database,Large
2023-02-04,62442,2 vCPUs,1 Gbps,3.0423574499705266,2964,64 GB,99,Application,Small
2023-02-05,43751,2 vCPUs,10 Gbps,1.0851934958149954,3110,16 GB,9,Web Server,Medium
2023-02-06,97634,2 vCPUs,10 Gbps,1.246146141449381,5510,8 GB,46,Database,X-Large
